PaymentId,Title,PaymentPriorityId,BusinessId,IsDeposit,IsPaidToPerson,CategoryId,Price,Date,CreatedByUserId,CreatedAt,ApprovedAt
1,Deposit from Samskipnaden,3,2,True,False,2,6000,2021-12-30 12:19:25,6,2022-02-26 12:25:14.520000000,
2,Extra Data For Mobile,3,3,False,False,18,79,2021-12-30 12:52:44,6,2022-02-26 12:53:03.170000000,
3,Groceries ,3,4,False,False,1,199,2021-12-30 12:54:50,6,2022-02-26 12:55:17.333000000,
4,Extra credit For Mobile,3,3,False,False,18,100,2021-12-31 12:56:44,6,2022-02-26 12:57:02.287000000,
5,Thinkpad Workstation,3,5,False,False,19,2000,2022-01-03 13:15:07,6,2022-02-26 13:15:20.997000000,
6,Groceries,3,1,False,False,1,193.69999999999999,2022-01-03 13:18:12,6,2022-02-26 13:18:30.183000000,
7,Groceries and households,3,6,False,False,1,226.30000000000001,2022-01-03 13:25:05,6,2022-02-26 13:25:19.687000000,
8,HDMI Cable, Convertor, sprays for car,3,7,False,False,4,154.69999999999999,2022-01-03 13:30:22,6,2022-02-26 13:30:46.917000000,
9,Ointment,3,8,False,False,7,124,2022-01-03 13:31:14,6,2022-02-26 13:31:39.240000000,
10,Hard Drive and Mouse Pad,3,9,False,False,4,1602,2022-01-03 13:32:17,6,2022-02-26 13:32:30.280000000,
11,Dagens, lunch,3,1,False,False,8,49.899999999999999,2022-01-03 13:32:57,6,2022-02-26 13:33:08.980000000,
12,Doctor Fee,3,10,False,False,7,229,2022-01-03 13:38:04,6,2022-02-26 13:38:25.573000000,
13,USB WiFi Adaptor,3,9,False,False,4,299,2022-01-04 13:39:00,6,2022-02-26 13:40:01.567000000,
14,Groceries and Kitchen Facilities,3,11,False,False,1,254.5,2022-01-04 13:40:32,6,2022-02-26 13:41:19,
15,Parking Fee,3,12,False,False,9,28.600000000000001,2022-01-04 13:42:06,6,2022-02-26 13:42:28.030000000,
16,Groceries,3,13,False,False,1,39,2022-01-04 13:42:57,6,2022-02-26 13:43:16.053000000,
17,Parking Fee,3,12,False,False,9,32.399999999999999,2022-01-04 13:43:44,6,2022-02-26 13:44:13.197000000,
18,Transfer Fee,3,5,False,False,10,220,2022-01-05 13:44:55,6,2022-02-26 13:45:05.707000000,
19,Households,3,14,False,False,5,273.80000000000001,2022-01-07 13:49:25,6,2022-02-26 13:49:43.167000000,
20,Households,3,15,False,False,5,289.60000000000002,2022-01-07 13:49:56,6,2022-02-26 13:50:37.763000000,
21,Extra credit For Mobile,3,3,False,False,18,50,2022-01-07 13:51:21,6,2022-02-26 13:51:30.313000000,
22,Groceries,3,16,False,False,1,77,2022-01-07 13:52:27,6,2022-02-26 13:52:54.970000000,
23,Groceries,3,4,False,False,1,130.09999999999999,2022-01-07 13:53:16,6,2022-02-26 13:53:32.187000000,
24,Dinner Table From Finn,3,5,False,True,5,1300,2022-01-07 13:54:38,6,2022-02-26 13:55:13.883000000,
25,Rent,3,17,False,True,11,8900,2022-01-08 13:55:52,6,2022-02-26 13:56:17.520000000,
26,Households,3,7,False,False,5,119.8,2022-01-10 13:56:39,6,2022-02-26 13:57:04.423000000,
27,Petrol,3,18,False,False,6,600,2022-01-10 13:57:34,6,2022-02-26 13:57:52.803000000,
28,Groceries,3,19,False,False,1,355.10000000000002,2022-01-10 13:58:07,6,2022-02-26 13:58:26.193000000,
29,Groceries,3,1,False,False,1,87.400000000000006,2022-01-10 14:00:06,6,2022-02-26 14:00:16,
